"phecode","ICD","flag"
"ID_005","011.10",9
"ID_005","015.06",9
"ID_005","031.2",9
"ID_005","012.00",9
"ID_005","A18.01",10
"ID_005","030",9
"ID_005","011.25",9
"ID_005","011.45",9
"ID_005","011.73",9
"ID_005","011.85",9
"ID_005","012.10",9
"ID_005","016.62",9
"ID_005","V12.01",9
"ID_005","016.72",9
"ID_005","016.92",9
"ID_005","A18.18",10
"ID_005","012.80",9
"ID_005","017.23",9
"ID_005","017.33",9
"ID_005","A18.84",10
"ID_005","017.43",9
"ID_005","A19.9",10
"ID_005","017.53",9
"ID_005","017.63",9
"ID_005","017.73",9
"ID_005","010.02",9
"ID_005","017.83",9
"ID_005","017.93",9
"ID_005","013.61",9
"ID_005","018.02",9
"ID_005","018.82",9
"ID_005","010.86",9
"ID_005","018.92",9
"ID_005","014.04",9
"ID_005","011.05",9
"ID_005",137,9
"ID_005","012.02",9
"ID_005","A18.09",10
"ID_005","017.12",9
"ID_005","O98.012",10
"ID_005","A30.4",10
"ID_005","015.15",9
"ID_005","011.22",9
"ID_005","015.25",9
"ID_005","015.55",9
"ID_005","015.65",9
"ID_005","011.42",9
"ID_005","015.75",9
"ID_005","015.85",9
"ID_005","015.95",9
"ID_005","016.04",9
"ID_005","B90.9",10
"ID_005","016.14",9
"ID_005","016.24",9
"ID_005","011.75",9
"ID_005","016.34",9
"ID_005","011.82",9
"ID_005","016.44",9
"ID_005","016.54",9
"ID_005","012.25",9
"ID_005","A18.31",10
"ID_005","013.0",9
"ID_005","013.11",9
"ID_005","013.21",9
"ID_005","010.0",9
"ID_005","013.45",9
"ID_005","013.55",9
"ID_005","013.83",9
"ID_005","010.83",9
"ID_005","013.93",9
"ID_005","014.01",9
"ID_005","011.02",9
"ID_005","014.86",9
"ID_005","015.05",9
"ID_005","012.04",9
"ID_005","A18.0",10
"ID_005","010.10",9
"ID_005","013.62",9
"ID_005","011.2",9
"ID_005","031",9
"ID_005","011.4",9
"ID_005","011.62",9
"ID_005","011.66",9
"ID_005","011.8",9
"ID_005","012",9
"ID_005","016.71",9
"ID_005","A17.0",10
"ID_005","012.22",9
"ID_005","016.91",9
"ID_005","017.05",9
"ID_005","A18.17",10
"ID_005","017.13",9
"ID_005","A18.4",10
"ID_005","017.22",9
"ID_005","013.01",9
"ID_005","O98.013",10
"ID_005","017.32",9
"ID_005","A18.83",10
"ID_005","017.42",9
"ID_005","A19.8",10
"ID_005","017.52",9
"ID_005","017.62",9
"ID_005","017.72",9
"ID_005","017.82",9
"ID_005","017.92",9
"ID_005","018.01",9
"ID_005","010.80",9
"ID_005","018.81",9
"ID_005","018.91",9
"ID_005","011.0",9
"ID_005","Z22.7",10
"ID_005","011.50",9
"ID_005","012.06",9
"ID_005","A15.4",10
"ID_005","010.12",9
"ID_005","A30.3",10
"ID_005",137.4,9
"ID_005","011.14",9
"ID_005","015.14",9
"ID_005","015.24",9
"ID_005","015.54",9
"ID_005","011.34",9
"ID_005","015.64",9
"ID_005","015.74",9
"ID_005","015.84",9
"ID_005","015.94",9
"ID_005","016.03",9
"ID_005","B90.2",10
"ID_005","016.13",9
"ID_005","016.23",9
"ID_005","016.33",9
"ID_005","016.43",9
"ID_005","016.53",9
"ID_005","011.94",9
"ID_005","012.2",9
"ID_005","012.31",9
"ID_005","017.02",9
"ID_005","012.35",9
"ID_005","A18.3",10
"ID_005","A18.51",10
"ID_005","013",9
"ID_005","013.03",9
"ID_005","013.10",9
"ID_005","013.20",9
"ID_005","013.35",9
"ID_005","013.44",9
"ID_005","013.54",9
"ID_005","013.63",9
"ID_005","013.82",9
"ID_005","A31.0",10
"ID_005","013.92",9
"ID_005",647.3,9
"ID_005","010.95",9
"ID_005","014.85",9
"ID_005","015.04",9
"ID_005","011.52",9
"ID_005","A18",10
"ID_005","017.14",9
"ID_005","O98.019",10
"ID_005","010.14",9
"ID_005","030.9",9
"ID_005","011.31",9
"ID_005","011.91",9
"ID_005","012.14",9
"ID_005","016.70",9
"ID_005","A17",10
"ID_005","016.90",9
"ID_005","017.0",9
"ID_005","A18.16",10
"ID_005","A18.39",10
"ID_005","012.84",9
"ID_005","017.21",9
"ID_005","017.31",9
"ID_005","A18.82",10
"ID_005","013.05",9
"ID_005","017.41",9
"ID_005","A19.2",10
"ID_005","017.51",9
"ID_005","017.61",9
"ID_005","013.32",9
"ID_005","017.71",9
"ID_005","017.81",9
"ID_005","010.06",9
"ID_005","017.91",9
"ID_005","018.00",9
"ID_005","018.80",9
"ID_005","018.90",9
"ID_005","A31.8",10
"ID_005","010.92",9
"ID_005","011.11",9
"ID_005","031.9",9
"ID_005","011.54",9
"ID_005","A17.82",10
"ID_005","013.64",9
"ID_005","010.16",9
"ID_005","A30.2",10
"ID_005","A31.1",10
"ID_005",647.30,9
"ID_005","015.13",9
"ID_005","015.23",9
"ID_005","011.26",9
"ID_005","015.53",9
"ID_005","015.63",9
"ID_005","015.73",9
"ID_005","011.46",9
"ID_005","015.83",9
"ID_005","015.93",9
"ID_005","016.02",9
"ID_005","B90.0",10
"ID_005","016.12",9
"ID_005","016.22",9
"ID_005","016.32",9
"ID_005","016.42",9
"ID_005","011.86",9
"ID_005","016.52",9
"ID_005","012.11",9
"ID_005","A15.7",10
"ID_005","012.81",9
"ID_005","017.15",9
"ID_005","A18.50",10
"ID_005","O98.02",10
"ID_005","013.1",9
"ID_005","013.2",9
"ID_005","013.3",9
"ID_005","013.43",9
"ID_005","010.03",9
"ID_005","013.53",9
"ID_005","013.81",9
"ID_005","013.91",9
"ID_005","010.9",9
"ID_005","014.05",9
"ID_005","014.84",9
"ID_005","011.06",9
"ID_005","015.03",9
"ID_005",137.2,9
"ID_005","011.56",9
"ID_005","A17.9",10
"ID_005","A18.54",10
"ID_005","011.23",9
"ID_005","030.8",9
"ID_005","011.43",9
"ID_005","011.61",9
"ID_005","011.65",9
"ID_005","011.83",9
"ID_005","016.7",9
"ID_005","016.9",9
"ID_005","012.26",9
"ID_005","017",9
"ID_005","A18.15",10
"ID_005","A18.32",10
"ID_005","017.20",9
"ID_005","017.30",9
"ID_005","A18.81",10
"ID_005","017.40",9
